Complexity,Loss,Equation
1,4.083462e-8,"2.675178"
3,4.0834617e-8,"exp(log(2.675181))"
4,3.3090863e-8,"exp(0.9904488 ^ x1)"
5,2.7221098e-8,"exp(cos(0.08845907 * x1))"
6,1.3258936e-8,"3.609576 - sin(x0 - x1)"
7,8.84209e-9,"3.012732 - (cos(sin(x1)) * 0.39801186)"
8,7.1511077e-9,"3.4613976 - cos(cos(cos(sin(exp(x0)))))"
9,4.373039e-9,"3.5460353 - cos(cos((x0 - x1) ^ 1.1841605))"
11,4.1235557e-9,"3.567633 - cos(cos((sin(sin(x1)) * x1) - x0))"
13,3.750559e-9,"3.5663602 - cos(cos((x1 * cos(cos(x1 * 0.6291381))) - x0))"
16,3.4358476e-9,"3.5663602 - cos(cos(((sin(x1) * x1) * cos(cos(x1 * x0))) - x0))"
20,3.374184e-9,"3.544976 - cos(cos((cos(sin(x1 * x1)) * (x1 ^ exp(0.5424155 ^ (x1 * x1)))) - x0))"
21,3.3545517e-9,"3.5460353 - cos(cos(x0 - ((x1 ^ exp(0.37491015 ^ (x1 * x1))) * cos(sin(sin(x1 * x1))))))"
22,3.3533014e-9,"3.5460353 - cos(cos((cos(sin(sin(x1 * x1))) * (x1 ^ exp((sin(0.35536706) ^ x1) ^ x1))) - x0))"
23,3.349121e-9,"3.5460353 - cos(cos(((x1 ^ exp(0.37491015 ^ (x1 * (x1 + 0.052898638)))) * cos(sin(sin(x1 * x1)))) - x0))"
24,3.3008765e-9,"3.5460353 - cos(cos(((x1 ^ exp(0.3720843 ^ (cos(cos(x0)) * (x1 * x1)))) * cos(sin(x1 * x1))) - x0))"
25,3.2120864e-9,"3.547725 - cos(cos(x0 - ((x1 ^ exp(0.32504433 ^ (x1 * log(x0 * cos(cos(x0)))))) * cos(sin(x1 * x1)))))"
