,global_idx_504274,global_idx_504276,global_idx_504277,global_idx_504280,global_idx_504283,global_idx_504284,global_idx_504287,global_idx_504289,global_idx_504291,global_idx_504292,global_idx_504294,global_idx_504297,global_idx_504301,global_idx_504302,global_idx_504303,global_idx_504305,global_idx_504306,global_idx_504309,global_idx_504311,global_idx_504312,global_idx_504313,global_idx_504314,global_idx_504315,global_idx_504316,global_idx_504317,global_idx_504318,global_idx_504321,global_idx_504322,global_idx_504325,global_idx_504326,global_idx_504327,global_idx_504328,global_idx_504329,global_idx_504331,global_idx_504332,global_idx_504333,global_idx_504334,global_idx_504335,global_idx_504337,global_idx_504338,global_idx_504341,global_idx_504342,global_idx_504343,global_idx_504344,global_idx_504348,global_idx_504349,global_idx_504350,global_idx_504352,global_idx_504355,global_idx_504356,global_idx_504358,global_idx_504359,global_idx_504360,global_idx_504361,global_idx_504363,global_idx_504364,global_idx_504365,global_idx_504366,global_idx_504367,global_idx_504369,global_idx_504370,global_idx_504372,global_idx_504373,global_idx_504374,global_idx_504376,global_idx_504377,global_idx_504378,global_idx_504379,global_idx_504384,global_idx_504387,global_idx_504388,global_idx_504390,global_idx_504392,global_idx_504394,global_idx_504396,global_idx_504397,global_idx_504399,global_idx_504400,global_idx_504403,global_idx_504404,global_idx_504405,global_idx_504407,global_idx_504410,global_idx_504412,global_idx_504413,global_idx_504414,global_idx_504415,global_idx_504416,global_idx_504418,global_idx_504419,global_idx_504420,global_idx_504421,global_idx_504422,global_idx_504424,global_idx_504426,global_idx_504429,global_idx_504432,global_idx_504434,global_idx_504435,global_idx_504438,global_idx_208974,global_idx_208987,global_idx_209008,global_idx_209024,global_idx_209043,global_idx_209057,global_idx_209063,global_idx_209087,global_idx_209105,global_idx_209123,global_idx_209136,global_idx_209151,global_idx_209159,global_idx_209168,global_idx_209193,global_idx_209209,global_idx_209226,global_idx_209238,global_idx_209258,global_idx_209274,global_idx_209291,global_idx_209317,global_idx_209330,global_idx_209351,global_idx_209360,global_idx_209371,global_idx_209384,global_idx_209395,global_idx_209414,global_idx_209431,global_idx_209447,global_idx_209462,global_idx_209477,global_idx_209487,global_idx_209507,global_idx_209528,global_idx_209548,global_idx_209564,global_idx_209586,global_idx_209607,global_idx_209623,global_idx_209642,global_idx_209655,global_idx_209667,global_idx_209685,global_idx_209702,global_idx_209716,global_idx_209736,global_idx_209756,global_idx_209767,global_idx_209776,global_idx_209787,global_idx_209805,global_idx_209820,global_idx_209838,global_idx_209858,global_idx_209870,global_idx_209881,global_idx_209896,global_idx_209904,global_idx_209923,global_idx_209937,global_idx_209955,global_idx_209969,global_idx_209988,global_idx_210003,global_idx_210017,global_idx_210040,global_idx_210056,global_idx_210071,global_idx_210088,global_idx_210106,global_idx_210125,global_idx_210140,global_idx_210153,global_idx_210172,global_idx_210185,global_idx_210199,global_idx_210210,global_idx_210226,global_idx_210250,global_idx_210260,global_idx_210277,global_idx_210298,global_idx_210315,global_idx_210333,global_idx_210348,global_idx_210367,global_idx_210380,global_idx_210390,global_idx_210400,global_idx_210418,global_idx_210436,global_idx_210446,global_idx_210460,global_idx_210474,global_idx_210496,global_idx_210513,global_idx_210526,global_idx_210536
snap_8,,,,,,,,,,,,,,,,,,,,121052.9375,,,,,,,,,125516.984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42760.07421875,162020.65625,,166917.46875,,176869.15625,195917.234375,136364.9375,,,39718.44921875,109010.8125,,,139481.703125,144197.96875,,105934.3515625,26349.271484375,,88935.8359375,43427.34765625,130817.4296875,16039.0556640625,3661.81884765625,,,107570.90625,44038.75,,,,,158337.9375,,,92402.625,133717.34375,51453.8125,43262.625,,193710.125,8109.79345703125,104114.09375,175554.609375,,,,,163890.4375,,102113.0625,122337.265625,,69921.9921875,83305.8359375,39675.44921875,155481.25,204999.59375,,153512.109375,202934.359375,,,,44132.20703125,74630.421875,,147107.953125,,175345.796875,190416.921875,,,136907.609375,73915.9296875,101675.5078125,,,40838.4453125,,2967.419677734375,,24753.498046875,,,,32638.00390625,177730.328125,,,33284.5078125,,128038.4609375,170519.578125,58861.65234375,199296.015625,82358.5078125,99018.8203125
snap_13,,,,,,,,,100094.2109375,,,,,,,117879.1953125,,,123138.6640625,120892.34375,124276.5859375,,,,,,,,125462.4140625,,145619.96875,,,,,,129668.0546875,,151425.625,,,154084.078125,,,162758.6875,,,,161161.96875,,172311.921875,,,,,174238.765625,,,174419.9375,,,,,193355.609375,,196716.515625,204054.109375,8940.1103515625,15123.689453125,16022.568359375,,23122.435546875,,,4068.00244140625,,,,,,,,,,,,,,,,,54015.3984375,,,,,,82408.890625,80291.2578125,,,42642.890625,162126.0625,,166647.734375,145762.4375,176940.171875,195917.125,136373.046875,,174231.671875,40001.28125,108884.375,,,139441.53125,144107.859375,24631.384765625,106003.8125,26401.392578125,122013.8515625,88849.296875,43886.4453125,130474.4609375,16401.470703125,3640.3525390625,,,107788.796875,43851.21875,,163031.203125,18962.36328125,,158368.671875,197165.25,149527.484375,92347.8984375,133278.9375,51398.2109375,43305.60546875,,194020.96875,8071.42041015625,104045.40625,175647.46875,151595.171875,32833.15234375,162109.59375,,164101.765625,72033.5859375,101878.8671875,122298.03125,,69818.53125,82984.578125,39669.76953125,155427.09375,204862.53125,,153590.15625,202927.875,122441.796875,,12540.859375,44158.90625,74633.0546875,162.94406127929688,147225.015625,,175113.953125,190577.140625,143255.9375,,137073.71875,73958.859375,101777.953125,138920.6875,,41097.421875,85814.265625,3062.427001953125,,24868.517578125,34692.51171875,200544.640625,,32393.6171875,177790.1875,158848.28125,73960.7578125,33208.8984375,,128072.984375,170283.328125,58791.58203125,199568.765625,82153.1953125,98903.1015625
snap_17,81931.953125,,,,88391.4765625,,,90897.609375,99926.5625,83163.34375,,,,,115472.8125,117827.3203125,,121349.890625,123167.8203125,120776.3671875,124354.078125,,120253.484375,,116494.125,120097.7890625,,,125417.546875,,145811.203125,142099.15625,137124.984375,135634.25,133204.734375,,129705.578125,148419.578125,151559.9375,,157322.671875,154121.625,165441.890625,,162846.265625,,155325.8125,,161277.390625,144969.328125,172235.875,,,,,174361.21875,178192.609375,179418.53125,174325.796875,,,,,193280.90625,193754.15625,196915.125,203890.84375,8642.1904296875,15050.880859375,16137.509765625,20254.42578125,23249.05859375,8207.9814453125,,3987.78369140625,7367.64892578125,24501.541015625,,,,32525.029296875,,,39087.71484375,,38544.0546875,,,49795.0546875,,,53892.62890625,,69781.5703125,,,73270.9765625,82431.2578125,80155.7890625,,,42521.0078125,162165.859375,,166491.90625,145912.546875,177032.421875,195952.03125,136381.515625,,174285.6875,40202.515625,108726.625,40741.63671875,136543.53125,139402.234375,144026.125,24669.30078125,106025.8515625,26430.7265625,121990.3984375,88795.6171875,44220.74609375,130156.1171875,16665.185546875,3615.086181640625,68916.671875,196222.390625,107996.0625,43638.58984375,,162930.015625,19412.568359375,130639.171875,158356.625,197187.21875,149626.90625,92293.8515625,132992.203125,51323.64453125,43372.921875,155095.09375,194243.953125,8001.93310546875,103979.546875,175640.59375,151256.890625,32792.64453125,161988.625,,164243.28125,71946.75,101722.1015625,122286.09375,78959.375,69755.03125,82736.09375,39675.69921875,155333.71875,204801.453125,,153620.6875,202936.796875,122465.171875,,12343.1142578125,44194.80859375,74636.734375,101.15653991699219,147306.171875,,174906.3125,190693.625,143338.84375,,137182.359375,74038.1640625,101915.7578125,138944.078125,,41275.33203125,85631.2265625,3147.6328125,,24916.798828125,34714.3984375,200514.265625,39050.23046875,32206.607421875,177832.1875,159152.84375,74098.3984375,33148.5703125,,128135.8828125,170073.0,58490.97265625,199724.546875,82020.4296875,98814.1328125
snap_21,81904.5703125,80338.1953125,,84686.2421875,88288.1953125,,,90770.0078125,99683.0625,82884.8515625,104727.5703125,,,109792.53125,115351.2421875,117816.390625,,121320.53125,123235.8359375,120622.4375,124430.265625,117493.7265625,120283.703125,,116565.3046875,120150.46875,,108453.2890625,125325.15625,124306.2890625,146100.109375,142173.625,137048.328125,136043.6875,133233.53125,128904.3984375,129842.6171875,148332.84375,151743.5,,157301.890625,154149.4375,165833.515625,,162977.796875,167405.53125,155245.453125,160254.296875,161447.21875,144767.4375,172119.796875,176988.359375,182079.5,,180918.140625,174507.65625,178304.625,179508.4375,174149.421875,173681.78125,179623.6875,169028.609375,193761.15625,193179.96875,193795.40625,197162.375,203652.765625,8288.365234375,14958.3984375,16354.451171875,20452.384765625,23451.65625,7974.75390625,21865.810546875,3830.455078125,7682.412109375,24750.447265625,,29510.783203125,,32614.923828125,42874.26171875,37692.4921875,39444.07421875,36865.8828125,38861.35546875,51336.875,,49865.44140625,46408.1796875,,53724.37890625,,69796.609375,,,73370.5546875,82428.1015625,79968.96875,,,42229.046875,162264.65625,62856.6953125,166238.625,146098.671875,177069.96875,196014.140625,136383.25,,174312.4375,40414.11328125,108477.265625,40979.34765625,136591.671875,139331.296875,143957.84375,24708.076171875,106063.5859375,26484.1953125,121978.2109375,88750.6484375,44673.29296875,129758.5,17093.474609375,3595.356689453125,68906.0,196237.125,108281.1640625,43462.61328125,,162852.65625,20019.974609375,130688.859375,158360.1875,197232.484375,149759.734375,92205.09375,132595.75,51298.44140625,43427.00390625,155080.40625,194549.734375,7924.4189453125,103834.9921875,175634.234375,150768.65625,32721.640625,161773.296875,,164388.734375,71836.9453125,101496.140625,122222.015625,78859.359375,69691.5234375,82450.609375,39655.98046875,155226.734375,204727.09375,,153690.53125,203039.015625,122424.9609375,,12180.5263671875,44227.5859375,74702.515625,60.27766799926758,147401.625,,174645.890625,190835.71875,143477.890625,157076.96875,137289.4375,74127.4765625,102131.8984375,138926.359375,,41668.45703125,85317.796875,3205.11328125,,24998.373046875,34837.9765625,200574.546875,39100.9296875,31847.16796875,177900.375,159406.578125,74152.5078125,33025.359375,,128183.953125,169817.34375,58480.0859375,199878.875,81819.484375,98707.5859375
snap_25,81860.0703125,80330.546875,73425.671875,84661.8359375,88159.9296875,,91658.125,90474.90625,99299.5703125,82488.03125,104412.8125,104087.9921875,112888.5546875,110098.375,115103.734375,117846.609375,117215.796875,121223.0,123327.7421875,120400.6796875,124562.59375,117069.5859375,120339.375,,116592.25,120144.0546875,112276.2109375,108398.0390625,125196.859375,123913.609375,146517.28125,142325.546875,136901.171875,136566.859375,133257.046875,128753.4453125,130010.7578125,148138.8125,151962.859375,156416.578125,157298.8125,154196.234375,166455.921875,,163189.609375,167017.9375,155163.234375,160402.296875,161681.046875,144468.203125,171972.3125,177082.078125,182214.46875,184768.578125,180899.0625,174666.765625,178440.265625,179514.375,173917.65625,173277.0,180007.34375,168798.90625,193609.609375,193019.109375,193676.859375,197582.484375,203336.171875,7750.4130859375,14823.546875,16665.869140625,20757.896484375,23747.119140625,7580.2763671875,21920.412109375,3558.15576171875,8274.8408203125,25136.228515625,32162.52734375,29608.248046875,33492.79296875,32784.609375,43063.13671875,38103.4453125,39983.98046875,36951.078125,39326.8359375,51153.67578125,,49989.64453125,46652.5390625,54058.50390625,53490.8046875,51511.33984375,69871.5078125,66928.3515625,,73516.6484375,82417.5,79700.640625,99711.0859375,145689.703125,41863.7734375,162464.859375,62840.67578125,165791.90625,146493.09375,177117.625,196136.984375,136373.84375,,174421.734375,40810.4921875,108099.546875,41299.17578125,136711.265625,139163.3125,143790.890625,24764.998046875,106146.578125,26559.35546875,121835.9609375,88658.265625,45355.92578125,129022.4765625,17754.318359375,3472.15576171875,68872.3671875,196324.65625,108631.765625,43239.3515625,,162719.875,20872.576171875,130818.640625,158461.625,197167.625,149953.703125,92081.4296875,131829.765625,51187.15234375,43622.56640625,155156.390625,195252.359375,7795.78857421875,103617.9453125,175755.59375,150142.5625,32540.525390625,161569.75,,164504.71875,71662.0,101209.234375,122137.5546875,78774.140625,69585.8671875,82059.1015625,39708.4765625,155045.109375,204619.015625,,153779.03125,203142.78125,122506.625,,11916.6552734375,44217.08984375,74790.6015625,204958.96875,147513.28125,,174231.40625,191076.6875,143761.625,156833.890625,137529.71875,74242.359375,102441.71875,139001.84375,130889.8359375,42197.5,84843.8515625,3534.9287109375,,25097.21875,35036.0703125,200580.515625,39211.171875,31404.515625,178117.53125,159675.34375,74216.421875,32841.56640625,,128271.6796875,169508.453125,58302.41796875,200084.015625,81341.2421875,98526.3203125
snap_33,81861.0078125,80304.546875,73326.40625,84699.0546875,87850.453125,,91191.9375,89994.4296875,98674.421875,81817.6171875,103894.0859375,103409.8203125,112782.8359375,110563.625,114704.4453125,117897.5,116709.0859375,121081.578125,123462.34375,120044.8046875,124775.5390625,116486.203125,120462.9921875,122256.4296875,116713.0390625,120166.1953125,112031.28125,108295.8359375,124924.25,123331.390625,147137.453125,142565.015625,136656.71875,137520.640625,133295.15625,128394.4375,130273.6640625,147693.296875,152416.859375,156525.171875,157300.703125,154239.640625,167551.078125,,163586.015625,166398.359375,155089.46875,160580.328125,162037.3125,144031.46875,171760.734375,177204.03125,182550.53125,185151.15625,180929.90625,174893.703125,178718.21875,179467.25,173513.28125,172732.0625,180567.421875,168389.46875,193411.515625,192786.1875,193674.171875,198268.015625,202811.078125,6848.06396484375,14624.1123046875,17167.896484375,21238.32421875,24212.251953125,7097.193359375,22032.5234375,3084.82373046875,8958.5908203125,25761.322265625,32364.083984375,29707.185546875,33155.54296875,33075.22265625,43372.703125,38755.84765625,40864.6953125,37083.44921875,40083.140625,50906.15625,48124.2890625,50268.9453125,47031.07421875,53950.1640625,53111.484375,51884.5078125,69943.5703125,66353.8359375,79391.1953125,73707.4609375,82419.1640625,79225.359375,99764.2265625,146019.765625,41316.8359375,162907.21875,63041.1640625,165041.578125,147037.71875,177170.21875,196287.109375,136335.96875,,174771.3125,41386.5546875,107613.2734375,41835.22265625,136962.75,138937.90625,143422.65625,24788.3828125,106402.921875,26847.8515625,121578.4140625,88431.1484375,46298.89453125,128021.109375,18856.134765625,3301.743896484375,68843.171875,196460.65625,109165.359375,42821.4296875,202445.09375,162506.671875,22154.576171875,131020.984375,158633.03125,197264.8125,150216.484375,91896.84375,130699.734375,50904.640625,43921.78515625,155305.984375,195860.09375,7541.02294921875,103202.578125,175792.46875,149019.375,32213.9375,161325.421875,117189.8359375,164664.109375,71477.8125,100705.1328125,122070.0703125,78605.765625,69071.515625,81433.1484375,39889.09765625,154580.140625,204578.28125,44062.57421875,153742.828125,202991.921875,122646.2734375,90786.5703125,11633.6826171875,44276.0703125,74894.84375,204707.921875,147754.578125,198396.390625,173445.640625,191514.78125,143830.421875,156276.4375,137968.984375,74476.7734375,102993.9609375,139019.703125,130450.2421875,42794.63671875,84139.7421875,4049.19580078125,,25258.48046875,35535.66796875,200666.546875,39453.8203125,30667.1640625,178248.578125,160083.90625,74585.609375,32654.826171875,,128476.9921875,168865.59375,57977.98828125,200649.09375,80619.0390625,98081.4375
snap_40,81829.2890625,80282.015625,73226.90625,84723.125,87599.9453125,,90861.1953125,89648.453125,98168.640625,81304.6171875,103480.3046875,102930.9375,112720.140625,110924.0546875,114398.609375,117928.8828125,116291.609375,120970.6875,123539.6953125,119758.3125,124941.953125,116059.8671875,120606.734375,122320.625,116810.3671875,120190.1171875,111836.59375,108268.7578125,124713.71875,122916.953125,147618.5625,142727.25,136478.765625,138250.8125,133335.421875,128166.21875,130465.21875,147348.421875,152837.109375,156618.71875,157329.453125,154305.84375,168388.609375,,163890.8125,165846.203125,155071.09375,160729.234375,162283.078125,143695.671875,171588.265625,177293.390625,182754.484375,185385.609375,180924.609375,175008.671875,178923.359375,179424.8125,173254.453125,172303.734375,180989.484375,168059.625,193137.34375,192597.671875,193697.265625,198818.859375,202414.546875,6086.673828125,14481.6064453125,17536.01953125,21573.6796875,24560.95703125,6712.1923828125,22160.634765625,2710.5556640625,9505.130859375,26263.09765625,32590.162109375,29805.9375,32902.05859375,33249.99609375,43625.703125,39370.23828125,41553.57421875,37226.328125,40667.765625,50701.5859375,48242.7265625,50469.19140625,47305.28515625,53865.5703125,52696.81640625,52208.640625,69994.8984375,65934.6484375,78922.453125,73866.0,82414.0703125,78815.8515625,99761.1640625,146305.4375,40925.3828125,163029.96875,63102.59765625,164451.25,147499.859375,177175.921875,196228.4375,136388.796875,,174975.8125,41872.7265625,107210.78125,42188.56640625,137259.0625,138899.34375,143228.203125,24824.439453125,106503.9296875,26947.81640625,121471.0625,88299.078125,47155.4453125,127180.453125,19704.12109375,3182.457763671875,68676.4921875,196556.734375,109549.6953125,42540.02734375,202027.4375,162379.375,23137.263671875,131176.015625,158767.921875,197351.125,150433.15625,91728.609375,129946.09375,50999.265625,44205.5390625,155240.859375,196276.453125,7430.98046875,102893.4296875,175795.234375,148158.328125,31907.826171875,161050.25,116882.03125,164866.765625,71333.5078125,100457.1328125,122112.8828125,78436.1484375,68556.4765625,80999.7734375,39989.71484375,154323.734375,204442.21875,44470.01171875,153727.984375,202885.59375,122635.8125,90521.1015625,11370.9169921875,44233.015625,75001.5234375,204583.453125,147823.203125,199401.203125,172955.15625,191852.640625,143791.5,155865.796875,138195.078125,74719.296875,103477.0859375,139073.484375,130191.125,43206.98046875,83600.046875,4501.8994140625,,25403.19140625,35803.421875,200714.96875,39687.83203125,30006.044921875,178466.28125,160372.9375,74561.8515625,32575.5546875,,128489.0078125,168369.578125,57805.78125,201152.671875,80094.5390625,97851.1015625
snap_50,81743.734375,80294.78125,73018.5,84806.34375,87322.3515625,,90373.8359375,89164.765625,97422.421875,80652.984375,102937.9453125,102287.7265625,112665.6640625,111338.5,113948.796875,118003.3359375,115731.5234375,120833.25,123678.5390625,119406.578125,125116.3203125,115430.0703125,120794.1171875,122467.921875,116904.2421875,120224.5078125,111614.1484375,108223.5,124457.2421875,122312.09375,148249.65625,142936.90625,136333.71875,139230.0,133395.546875,127822.6796875,130749.53125,146819.890625,153464.71875,156747.3125,157410.78125,154416.640625,169516.375,,164321.859375,164814.171875,155045.0625,160924.296875,162668.84375,143249.109375,171344.890625,177467.765625,183028.046875,185761.21875,180795.375,175197.640625,179257.140625,179453.265625,172801.71875,171723.09375,181593.53125,167651.109375,192778.984375,192347.78125,193743.5,199564.171875,201851.4375,5023.6201171875,14264.5810546875,18045.693359375,22043.01171875,25048.3828125,6238.45849609375,22280.4453125,2100.900634765625,10253.9326171875,26952.087890625,32891.03125,29705.53515625,32554.34765625,33552.6171875,43972.73828125,40136.98046875,42490.55078125,37381.03125,41466.296875,50378.14453125,48394.03515625,50733.9375,47718.546875,53639.0546875,52166.53515625,52688.19921875,70081.5234375,65322.4140625,78268.203125,74086.1640625,82378.1953125,78290.6875,99734.171875,146701.703125,40506.7109375,163480.609375,63201.64453125,163696.90625,148194.359375,177127.640625,196280.796875,136438.65625,54713.078125,175174.390625,42546.2578125,106668.203125,42717.0234375,137764.15625,138771.421875,142936.28125,24779.3671875,106609.65625,26958.650390625,121312.6796875,88100.40625,48414.265625,126005.8359375,20938.283203125,3038.44775390625,68348.734375,196629.046875,110004.25,42301.81640625,201458.25,162296.8125,24337.740234375,131361.96875,158974.328125,198007.3125,150657.28125,91457.8203125,128882.34375,51135.19921875,44608.44140625,155024.796875,196900.171875,7267.71826171875,102563.9375,175840.296875,146914.375,31325.3671875,160516.421875,116109.46875,165232.59375,71012.0703125,99942.84375,121933.65625,77849.984375,68032.4765625,80404.1796875,40135.04296875,154073.828125,204259.171875,45061.91015625,153685.421875,202753.640625,122209.921875,90009.90625,11021.216796875,44177.05859375,75200.84375,204396.453125,147920.765625,199738.03125,172343.84375,192324.671875,143675.53125,155454.453125,138382.734375,75018.0859375,104437.609375,139057.15625,129713.3984375,44208.046875,82839.1796875,5051.82470703125,,25592.11328125,36215.6796875,200567.171875,39952.19140625,29069.150390625,178718.8125,160754.234375,74477.8671875,32512.9921875,,128554.6640625,167655.59375,57399.53515625,201848.15625,79278.3203125,97410.2109375
snap_67,81603.8359375,80325.109375,72663.53125,84967.375,86952.7578125,,89797.484375,88478.6640625,96100.296875,79697.671875,102178.421875,101388.2421875,112502.96875,111988.4765625,113278.59375,118112.7421875,114890.15625,120641.2734375,123842.6640625,118892.5234375,125314.7109375,114454.578125,121015.5,122772.9375,117073.2421875,120279.8828125,111109.265625,108117.78125,124032.65625,121378.5859375,149060.890625,143227.859375,136231.578125,140614.703125,133488.828125,127335.890625,131106.234375,146026.90625,154385.484375,156942.15625,157612.734375,154552.453125,171162.40625,154139.140625,164824.28125,163238.921875,155023.859375,161180.90625,163212.984375,142539.6875,170987.296875,177663.71875,183407.515625,186273.078125,180632.875,175512.78125,179569.5,179552.015625,172161.171875,170913.84375,182453.046875,167071.90625,192385.328125,191970.390625,193833.59375,200655.0,201036.3125,3344.00390625,13934.1455078125,18919.28125,22590.275390625,25737.068359375,5478.10791015625,22445.07421875,1291.6473388671875,11305.3916015625,27968.962890625,33335.08984375,30130.74609375,32116.876953125,33997.4296875,44454.6953125,41279.19140625,43779.46875,37660.54296875,42604.05078125,49937.66015625,48494.98828125,51192.578125,48352.55078125,53285.57421875,51425.24609375,53553.30078125,70203.9453125,64390.28125,77304.9453125,74260.765625,82413.9375,77491.84375,98450.5859375,147003.28125,39952.45703125,164473.90625,62761.41796875,162629.671875,148585.296875,177293.046875,196520.59375,137048.546875,54161.265625,175291.9375,43382.7265625,106020.1640625,43583.51171875,137954.75,138995.390625,142579.65625,24067.3515625,106687.8046875,26994.33203125,121100.4765625,87655.828125,50243.359375,124258.8125,22656.337890625,2813.07666015625,68436.78125,196919.40625,110746.7890625,41588.99609375,200661.953125,162263.953125,26175.357421875,131752.265625,159222.578125,197805.890625,151179.375,91140.9921875,127150.5078125,51402.65234375,45059.9375,154635.1875,197832.78125,7089.6533203125,102247.0859375,175939.0625,144974.03125,30489.619140625,160091.859375,115238.1015625,165376.9375,70583.6171875,99187.8984375,121582.5625,77321.5703125,67229.6953125,79483.796875,40510.7734375,153742.265625,204003.921875,45509.2578125,153668.328125,202559.515625,121971.953125,89212.4609375,10536.7314453125,44175.01171875,75518.125,204070.421875,148295.65625,200433.921875,171458.109375,193112.203125,142989.703125,154917.90625,139285.59375,75535.96875,104777.25,139116.96875,129174.4921875,45564.98046875,81833.109375,6113.12744140625,,25618.052734375,36815.7578125,200413.71875,40381.90234375,27840.51953125,179073.53125,161189.46875,74255.546875,32490.798828125,,128713.703125,166823.8125,57265.1328125,202750.09375,78503.2421875,96805.6953125
snap_78,81696.40625,80354.6640625,72588.109375,85085.1953125,86693.8515625,,89456.9453125,88107.0234375,95385.2421875,79201.1796875,101790.90625,100882.65625,112368.5625,112319.4453125,112884.53125,118195.6171875,114396.9453125,120541.609375,123926.890625,118618.6484375,125392.328125,113983.234375,121072.71875,122906.8203125,117185.421875,120334.71875,110905.1953125,108049.53125,123778.8203125,120880.5390625,149493.75,143370.9375,136194.03125,141321.453125,133540.765625,127068.828125,131287.40625,145652.890625,154924.671875,157025.53125,157767.0,154647.125,172108.3125,154002.046875,165071.859375,162386.0625,154944.09375,161290.671875,163523.65625,142157.28125,170777.71875,177779.578125,183703.21875,186567.34375,180492.53125,175648.40625,179746.09375,179575.90625,171781.5,170494.28125,182909.6875,166765.90625,192135.484375,191759.46875,193901.34375,201219.859375,200593.71875,2335.8271484375,13754.97265625,19457.572265625,22823.8203125,26133.248046875,5060.896484375,22498.068359375,998.54052734375,11868.6982421875,28527.18359375,33541.72265625,30282.474609375,31914.583984375,34237.87109375,44692.0625,41953.56640625,44418.8828125,37813.46875,43223.9765625,49736.01953125,48622.55859375,51419.53125,48644.83203125,53088.08984375,51024.1640625,53927.74609375,70274.890625,63862.58203125,76783.8359375,74333.3125,82491.2421875,77016.6953125,99517.734375,147330.296875,39726.640625,165087.515625,63078.62109375,162041.953125,148820.796875,177345.3125,196699.59375,136560.90625,53960.7109375,175381.640625,43805.578125,105921.5546875,44054.66796875,138111.09375,139166.65625,142309.328125,23639.759765625,106772.3671875,26837.8515625,121086.078125,87456.6015625,51212.71484375,123273.0546875,23666.146484375,2752.197998046875,68479.3359375,197136.515625,111032.3828125,41237.69140625,200278.875,162192.21875,27153.43359375,131990.359375,159394.609375,197825.90625,151500.109375,90928.0390625,126097.84375,51549.015625,45314.7734375,154409.03125,198379.546875,7005.462890625,102293.515625,175982.09375,143882.28125,29987.97265625,159847.203125,114785.6484375,165464.109375,70264.828125,98811.2109375,121480.453125,77027.15625,66844.8671875,78978.4921875,40677.921875,153559.421875,203879.234375,45832.828125,153710.203125,202393.796875,122141.8203125,88773.4765625,9879.4599609375,44165.08203125,75855.3359375,203996.984375,148492.515625,200712.28125,171008.734375,193478.9375,142531.421875,154597.109375,139788.9375,75877.390625,105116.1015625,139079.328125,128892.1328125,46324.6171875,81270.9296875,6718.63134765625,,25882.052734375,37182.015625,200346.796875,40636.7734375,27194.517578125,179233.65625,161402.84375,74093.0390625,32539.6171875,75012.4765625,128664.78125,166374.5625,57248.953125,203223.296875,78076.1171875,96497.7734375
